d_alt20,,d_alt25,,d_alt22,,d_mkd_base,,d_ground,,d_mk_tm,,d_f1,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,271.0938523662613,-0.0011911710402614517,270.7501995211493,-0.0011911710402614517,270.7501995211493,266.11785446272233,346.09486486164553,0.13769937225282547,270.82012126121197,90.15449488392036,300.6656263772916,267.61515646031614,358.0664911674667
6.940953651534755,273.55898083405793,5.901061333396797,273.5500470512561,9.718764517397005,274.9574156353111,263.34457004681303,346.00231087181805,9.378327834093625,276.74143250229304,80.85788138318782,298.59263141594505,262.2196281164013,321.4565639480173
18.04743243082271,277.77810865862233,13.192219270765065,277.04911198198954,17.356076759061807,278.32199735560033,261.61046324641757,345.71249895772536,102.1198079832283,332.65845552762926,71.49051232266442,296.10665745494396,254.56111303022004,271.974961584734
25.336208026110455,280.58986789913166,20.483377208133277,280.54817691272297,31.30993079296252,284.0088861359603,259.8770711486463,345.6288787506998,95.51929101499687,328.4093101928506,59.34842944098341,293.1157460899811,,
29.152720039070346,281.65358363807456,24.302271563173747,282.2991983418899,97.5402318018844,311.45072720992005,256.75453538373574,344.77731057402536,88.92044168622172,324.6412788412288,50.3269764505485,290.42655834951347,,
32.62379245035788,283.057974294529,27.773343974461284,283.7035889983443,203.7581446319877,355.3185786947148,253.97863039153793,343.9287203249514,84.75253421638814,322.19997379423717,38.181081821538726,286.33595788019204,,
36.78931757811097,284.8119736512966,31.592238329501697,285.4546104275113,,,250.50874915129066,342.86798251360915,79.19524484520733,318.9219902085741,28.462079069933623,282.4036640421198,,
40.26038998939856,286.21636430775095,34.71667996807662,286.85602315636504,,,244.26177174780528,340.61500160808095,72.94278805493678,315.0882062155305,17.70270753177448,278.32497528320096,,
44.07809317339877,287.62373289180596,38.88220509582965,288.61002251313266,,,240.44525973484537,339.5512858691379,67.03767674000306,311.4635918571548,9.719002751605046,275.0261462043335,,
47.89579635739892,289.03110147586096,42.3544686781575,290.3580660146991,,,235.935009708044,338.34415313694893,59.04896904146466,306.72142082881686,3.81722671558407,272.36375981227144,,
51.71349954139913,290.43847005991597,45.826732260485244,292.10610951626546,,,232.1196888661243,337.62409024311796,50.7129158675894,301.7700801658111,0.34615430429653316,270.95936915581717,,
55.53120272539934,291.8458386439709,49.99225738823833,293.86010887303314,,,229.34378387392647,336.77549999404414,44.80780455265568,298.14546580743536,,,,
59.69553668211216,293.25618515562655,52.77006825410058,295.2585436742862,,,226.22053340639184,335.71774011030243,36.12464413765167,293.0536860787841,,,,
62.819978320687085,294.65759788448025,56.58896260914099,297.00956510345327,,,223.44462841419403,334.8691498612286,30.567354766470885,289.77570249312106,,,,
66.63768150468724,296.0649664685352,168.03611630594037,349.51340663005806,,,222.05691415230314,334.51358530571406,25.009588926874017,286.3602577694131,,,,
70.80201546140009,297.47531298019084,,,,,219.28267679956167,334.146109039797,17.71485747638502,281.8302343033437,,,,
73.92645709997498,298.8767257090446,,,,,216.85268787745235,333.09430501125655,14.24116448880892,279.6698073876429,,,,
77.74416028397516,300.28409429309954,,,,,215.46497361556146,332.73874045574206,106.27913902157212,332.62546008981434,,,,
81.56186346797534,301.69146287715455,,,,,212.34267608485905,331.95590284809,113.9045395528344,332.55351335898325,,,,
85.37956665197555,303.09883146120956,,,,,209.91435480220605,331.38521280270635,117.71771628688163,332.65500113161255,,,,
88.50281711951015,304.15659134495127,,,,,207.83266429226575,330.81750068492335,124.65152291217495,333.05821252873704,,,,
91.97388953079769,305.5609820014056,,,,,199.85491536729762,329.23693583161605,128.46541434884637,333.3658920084335,,,,
96.83267620397612,307.32093721337446,,,,,194.3038200855261,327.74594704053555,136.44054269752596,334.1904206024943,,,,
100.30374861526366,308.72532786982885,,,,,190.14091553406155,326.7479839430144,143.03010089218714,335.2779597622423,,,,
104.12145179926387,310.1326964538838,,,,,185.97634334314066,325.2689068623364,147.1922907410275,336.06973115269625,,,,
107.93915498326402,311.5400650379388,,,,,182.1593548617646,324.0677299853486,151.7023025336208,337.2081333158629,,,,
111.06359662183894,312.94147776679256,,,,,180.42548629557717,323.84664864027826,155.17099260282785,337.92521828209317,,,,
114.88129980583912,314.34884635084757,,,,,177.65053424021156,323.27298066729406,160.02739693392576,338.997867803838,,,,
118.69900298983927,315.7562149349025,,,,,174.52871317792523,322.62760419768676,164.53740872651903,340.1362699670046,,,,
125.98777858512705,318.56797417541185,,,,,171.75304641993543,321.8477445176353,169.0476587533204,341.3434026991936,,,,
130.15211254183987,319.9783206870675,,,,,168.9776178961537,321.1366154066062,174.9408583578516,341.531488606449,,,,
133.62318495312743,321.3827113435218,,,,,165.16110588319378,320.07289966766325,179.10090409881957,341.7046848757013,,,,
137.7875189098403,322.79305785517744,,,,,162.0385701182833,319.2213314909888,182.2222486926898,342.21260020726385,,,,
141.25859132112777,324.1974485116318,,,,,158.91531965074864,318.16357160724715,188.46398494359806,342.9535085942991,,,,
144.7284725613751,325.25818632297415,,,,,156.13989112696694,317.45244249621805,192.97018498886257,342.9922216531072,,,,
