epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
49,0.546121,1.583469e+04,2.260772e-02,5.288558e-01,2.164190e+00,1.220788e-05,1.582979e+04,2.183906e+00
50,0.546051,1.521342e+04,1.250553e-02,5.280614e-01,2.156873e+00,1.171879e-05,1.520855e+04,2.174934e+00
51,0.545287,1.464550e+04,1.544081e-02,5.273127e-01,2.150492e+00,1.127833e-05,1.464065e+04,2.165215e+00
52,0.546375,1.412620e+04,9.298006e-03,5.266385e-01,2.145193e+00,1.090698e-05,1.412136e+04,2.155247e+00
53,0.546530,1.364278e+04,1.216435e-02,5.260570e-01,2.141044e+00,1.061659e-05,1.363795e+04,2.145390e+00
54,0.547246,1.318467e+04,8.806907e-03,5.255649e-01,2.137974e+00,1.040281e-05,1.317986e+04,2.135843e+00
55,0.545755,1.274559e+04,1.093236e-02,5.251527e-01,2.135844e+00,1.027860e-05,1.274079e+04,2.126697e+00
56,0.546734,1.232408e+04,1.448783e-02,5.247845e-01,2.134361e+00,1.023401e-05,1.231929e+04,2.117852e+00
57,0.547762,1.192336e+04,1.305819e-02,5.244690e-01,2.133334e+00,1.025396e-05,1.191858e+04,2.109204e+00
58,0.546747,1.154842e+04,4.951203e-01,5.241199e-01,2.132290e+00,1.033083e-05,1.154317e+04,2.100458e+00
59,0.548581,1.120008e+04,1.019503e-01,5.233574e-01,2.129948e+00,1.047086e-05,1.119524e+04,2.090930e+00
60,0.546921,1.088359e+04,1.778245e-01,5.227522e-01,2.128130e+00,1.063164e-05,1.087868e+04,2.081548e+00
61,0.545291,1.059721e+04,2.223108e-01,5.222691e-01,2.126562e+00,1.079950e-05,1.059226e+04,2.072093e+00
62,0.547383,1.033665e+04,1.423114e-01,5.218839e-01,2.125070e+00,1.095820e-05,1.033179e+04,2.062268e+00
63,0.547176,1.009584e+04,5.275515e-02,5.214647e-01,2.122981e+00,1.109093e-05,1.009110e+04,2.051743e+00
64,0.546539,9.868586e+03,1.851087e-02,5.206676e-01,2.118710e+00,1.118118e-05,9.863889e+03,2.039657e+00
65,0.545169,9.650165e+03,1.795460e-02,5.195886e-01,2.112707e+00,1.122485e-05,9.645488e+03,2.026462e+00
66,0.546715,9.438243e+03,2.189595e-02,5.182550e-01,2.105188e+00,1.122705e-05,9.433585e+03,2.012506e+00
67,0.546294,9.232698e+03,1.957550e-02,5.167174e-01,2.096477e+00,1.118236e-05,9.228067e+03,1.998230e+00
68,0.546707,9.034987e+03,1.827661e-02,5.149760e-01,2.086716e+00,1.110497e-05,9.030383e+03,1.983969e+00
69,0.547219,8.847175e+03,1.126335e-02,5.130637e-01,2.076181e+00,1.100554e-05,8.842605e+03,1.970116e+00
70,0.547185,8.670970e+03,9.081280e-03,5.110055e-01,2.065098e+00,1.089532e-05,8.666428e+03,1.956977e+00
71,0.546733,8.507363e+03,2.530504e-01,5.088278e-01,2.053685e+00,1.077788e-05,8.502602e+03,1.944793e+00
72,0.548117,8.355575e+03,1.568405e-02,5.070206e-01,2.044374e+00,1.068766e-05,8.351073e+03,1.935006e+00
73,0.547132,8.214705e+03,5.700515e-03,5.051562e-01,2.035141e+00,1.060922e-05,8.210232e+03,1.926431e+00
74,0.548893,8.082683e+03,1.483786e-02,5.032489e-01,2.026071e+00,1.054896e-05,8.078220e+03,1.919035e+00
75,0.546193,7.957486e+03,1.405348e-02,5.013341e-01,2.017326e+00,1.050835e-05,7.953041e+03,1.912786e+00
76,0.548052,7.837339e+03,3.278330e-02,4.994367e-01,2.008995e+00,1.048684e-05,7.832891e+03,1.907583e+00
77,0.546809,7.721048e+03,1.988469e-01,4.976343e-01,2.001407e+00,1.047916e-05,7.716447e+03,1.903441e+00
78,0.546774,7.607541e+03,1.713872e-02,4.962573e-01,1.996116e+00,1.049642e-05,7.603131e+03,1.901068e+00
79,0.546816,7.496754e+03,1.322036e-02,4.949175e-01,1.991174e+00,1.052112e-05,7.492356e+03,1.899208e+00
80,0.544893,7.388544e+03,1.229755e-02,4.936190e-01,1.986546e+00,1.054772e-05,7.384154e+03,1.897682e+00
